jname,x,y,hex_color
"Scandinavian Journal of History",0.15729465854221455,0.2749232155762467,#EE9A00
"Current Prostate Reports",0.9470774563077884,0.3112466301821163,#FF0000
"Bulletin of Economic Research",0.1572812607447904,0.44702210040690543,#ffff0c
"Journal Fur Praktische Chemie-chemiker-zeitung",0.5464767446861266,0.6496059784796065,#0001fa
"Journal of Huazhong University of Science and Technology-medical Sciences",0.785561547052438,0.521226682127067,#8B6508
"American Journal of Critical Care",0.6218382461883946,0.2586524456110248,#FF0000
"Ultraschall in Der Medizin",0.7816254774418407,0.2034467559273218,#FF0000
"Studies in Science Education",0.3582284553467144,0.09772446064025683,#ffff0c
"Clinical Psychology-science and Practice",0.4528481540930273,0.19895487179015586,#8B6508
"Air Medical Journal",0.6362046277304326,0.24280840778299,#8B6508
"Acta Veterinaria Scandinavica",0.8465999195758123,0.7807967953835047,#8B0000
"Asn Neuro",0.5136347275447731,0.3672796267278833,#CDC673
"Journal of Chronic Fatigue Syndrome",0.5224057916034289,0.19565579354883544,#8B6508
"East African Medical Journal",0.6654425372289527,0.3692726244798492,#8B0000
"Geoscience Canada",0.4274485117348804,0.9290538063486894,#FF6600
"Bulletin of Environmental Contamination and Toxicology",0.5421758121822068,0.8195471376754906,#20c157
"Journal of Marketing for Higher Education",0.32939044867618056,0.04837635311020984,#ffff0c
"Bariatric Nursing and Surgical Patient Care",0.6248940939582301,0.2735603671845307,#ffff0c
"International Archives of Occupational and Environmental Health",0.5640524910578202,0.500057164741323,#8B6508
"Journal of Multivariate Analysis",0.4451546889238829,0.4495057085791371,#ffff0c
"Journal of Infection and Public Health",0.8333034731778736,0.6788071973668983,#8B6508
"Emerging Themes in Epidemiology",0.6308151169121133,0.3758777900771725,#8B6508
"Ferroelectrics",0.4146064124694859,0.6725983225491199,#663788
"British Journal of Social Psychology",0.378734140493966,0.2904952283461492,#ffff0c
"Clinics in Geriatric Medicine",0.5540703116767284,0.15014896315991333,#CDC673
"International Journal of Business Innovation and Research",0.2736278579586252,0.4846781340629336,#ffff0c
"Clinical Microbiology Reviews",0.8184168844769907,0.6791215038488928,#8B0000
"Cell and Tissue Biology",0.7641261712597786,0.5632071019007626,#8B0000
"Archives of Disease in Childhood",0.6804719194300733,0.2550954918400234,#FF0000
"Journal of Renewable and Sustainable Energy",0.30570583170841265,0.6293061973850935,#2dffff
"International Journal of Transitional Justice",0.23462825281623564,0.30899565060063605,#ffff0c
"Software and Systems Modeling",0.1127499722857736,0.5617772877345439,#fb01ff
"Oxford Development Studies",0.14616051325331972,0.3713310955354509,#ffff0c
"Journal of the American Podiatric Medical Association",0.7374299373763192,0.1082336676550967,#8B6508
"Innovative Higher Education",0.3371289458766172,0.06656551960210895,#ffff0c
"Topics in Magnetic Resonance Imaging",0.7531443992761847,0.21201713680316767,#CDC673
"Nature Reviews Immunology",0.8786748140235722,0.5651929979439617,#8B0000
"Caldasia",0.6051141192675672,0.9479150441839908,#20c157
"Qualitative Research",0.3053075343855847,0.23741532611316404,#ffff0c
"Asian Case Research Journal",0.29378980944165034,0.4364672555238172,#ffff0c
"Advances in Small Animal Medicine and Surgery",0.8586191075581125,0.7968130057865689,#8B0000
"Social Influence",0.3836682760199212,0.2782749849246936,#ffff0c
"Journal of Advanced Transportation",0.2737615545210664,0.5843563625415452,#2dffff
"Journal of Assisted Reproduction and Genetics",0.7334005717469178,0.4069448113175341,#FF0000
"International Journal of Antennas and Propagation",0.2311774442897251,0.6594336445035279,#fb01ff
"Journal of Operational Oceanography",0.4873977466278514,0.9026233848459048,#FF6600
"Korean Journal of Defense Analysis",0.1986242658898932,0.33038225554270856,#ffff0c
"Paleoceanography",0.4588210544056476,0.9463613862089432,#FF6600
"Journal of Sport & Exercise Psychology",0.4268547943496373,0.2611959721968543,#8B6508
"Biometrical Journal",0.4518126527737677,0.4334137591206777,#ffff0c
"International Journal of Urology",0.942517278031432,0.3145499533423069,#FF0000
"Molecular Cancer",0.8179962999785774,0.4977170243479387,#FF0000
"Journal of International Financial Management and Accounting",0.06463521524655931,0.42136093159886,#ffff0c
"Biochemistry",0.7225703594744022,0.5836695474241131,#6B8E23
"Victorian Poetry",0.12774193810291926,0.2027129517265342,#EE9A00
"Marine Geology",0.4458407299901774,0.9132264300075889,#FF6600
"Health Affairs",0.590586458725479,0.3290105405770247,#8B6508
"Theoretical Inquiries in Law",0.242685038682856,0.3226547407857715,#ffff0c
"Acta Scientiarum-agronomy",0.6679022742847217,0.7667946084610019,#2dffff
"Human Organization",0.3044450950701018,0.29345195579577216,#ffff0c
"Express Polymer Letters",0.4574521933071764,0.7355514661004129,#2dffff
"Pathophysiology of Haemostasis and Thrombosis",0.8361729921736613,0.3680223840475452,#FF0000
"American Scholar",0.20809479792925686,0.1641020127616279,#EE9A00
"Neurocase",0.4493706023764327,0.30923679639443963,#CDC673
"European Journal of Political Theory",0.1710572589509461,0.3077494909331058,#ffff0c
"European Journal of Radiology",0.7604592772394992,0.21528985048608665,#CDC673
"Neuro-oncology",0.8042247189392968,0.4494440528101414,#CDC673
"Engineering Geology",0.4023096636564383,0.8362207344585382,#FF6600
"Journal of Social Archaeology",0.2256661619264759,0.4164439968238549,#FF6600
"Journal of Perinatal & Neonatal Nursing",0.6797726708000037,0.2750838230769793,#8B6508
"Journal of Animal and Feed Sciences",0.8019591284485889,0.8071914454146878,#8B0000
"Hepatitis Monthly",0.910953501947853,0.23338812305450835,#FF0000
"Cancer Science",0.8188203802424749,0.4944439091524437,#FF0000
"Leadership",0.30202313326031577,0.4018355012292048,#ffff0c
"New South Wales Public Health Bulletin",0.6336769073512177,0.3517950496996673,#FF0000
"Drug Discovery Today: Targets",0.7336312706177327,0.6193179645654606,#6B8E23
"Learning and Individual Differences",0.3824220716272863,0.09631546232598193,#ffff0c
"Australian Family Physician",0.6575772062313994,0.3311069330069069,#8B6508
"New Journal of Physics",0.3889614929965323,0.6372440419367031,#663788
"International Journal of Technology and Globalisation",0.28792708525182925,0.477319126454424,#ffff0c
"Field Crops Research",0.6233497297991109,0.7663112376789897,#20c157
"World Views: Environment, Culture, Religion",0.1814029799484913,0.2258989920839112,#ffff0c
"Annual Review of Analytical Chemistry",0.5095005316438296,0.5992357255405912,#0001fa
"Human Resource Management International Digest",0.30894984078569504,0.3962888266343061,#ffff0c
"Acta Biotechnologica",0.7305964611616611,0.6957244675893068,#20c157
"Viszeralmedizin",0.8509317024391873,0.2210457252157884,#FF0000
"Arid Land Research and Management",0.6200942490887801,0.7872253106430308,#20c157
"Church History",0.13203380150729105,0.2501267032678172,#EE9A00
"Ethnicities",0.2620869911727211,0.2690254813969889,#ffff0c
"Microvascular Research",0.7215017083245351,0.5151030224933181,#FF0000
"Seminars in Avian and Exotic Pet Medicine",0.8531231912359394,0.7905367779746685,#8B0000
"ACS Chemical Neuroscience",0.51582065892971,0.3746213539932713,#0001fa
"Mathematische Zeitschrift",0.11300037162176545,0.7103272626960991,#663788
"Asia Pacific Viewpoint",0.2349819115749733,0.2846065367274419,#ffff0c
"Pain Reviews",0.6095197293672303,0.130942941114426,#8B6508
"International Economics and Economic Policy",0.13568935223279902,0.4262981590938161,#ffff0c
"Proceedings of the IEEE",0.10257590634139248,0.6337239866426938,#fb01ff
"Water Policy",0.4282938130473691,0.5712605378484309,#2dffff
"Graefes Archive for Clinical and Experimental Ophthalmology",0.5202242525190571,0.4417408002382725,#8B6508
"Ear and Hearing",0.4849247837190497,0.0261259999057888,#8B6508
"IEEE Transactions on Neural Networks",0.2077715733914144,0.5890157841153333,#fb01ff
"Journal of Psychotherapy Integration",0.4478440709749972,0.1867327721890308,#8B6508
"Annual Review of Ecology, Evolution, and Systematics",0.6072751504977676,0.8858753802528371,#20c157
"Harvard Environmental Law Review",0.1969984475060652,0.3950985625614708,#ffff0c
"Zeitschrift Der Deutschen Gesellschaft Fur Geowissenschaften",0.4185711919877749,0.9374755928858038,#FF6600
"Personality and Individual Differences",0.4025818099129039,0.2862982641819053,#ffff0c
"Chicago Journal of Theoretical Computer Science",0.08682492165370186,0.7023310028995283,#663788
"Development Policy Review",0.14136899375215695,0.3628095324574837,#ffff0c
"ACM Transactions on Computer-Human Interaction",0.3663168923935696,0.3848954686810182,#fb01ff
"Ankara Universitesi Veteriner Fakultesi Dergisi",0.8240889733403246,0.794113459690019,#8B0000
"IEEE Transactions on Network and Service Management",0.13627369062690348,0.5980565738931749,#fb01ff
"Progress in Orthodontics",0.6032936922177065,0.4222331872083323,#8B6508
"Sociological Research Online",0.3032092652874632,0.2429963304939071,#ffff0c
"Journal of Optics-nouvelle Revue D Optique",0.35547801200311835,0.6504423132873791,#663788
"New Medit",0.4323334899423279,0.5136353724405953,#ffff0c
"Journal of Cell Biology",0.7669720147934419,0.5655713107435274,#8B0000
"British Journal of Surgery",0.852807302717753,0.2423392516495524,#FF0000
"Journal of Orthopaedic Science",0.7150909016724343,0.11740267493598926,#8B6508
"Revista Espanola De Quimioterapia",0.8271135823559498,0.6627574911926485,#8B0000
"Boundary 2-an International Journal of Literature and Culture",0.1657689184898934,0.22202175154722564,#EE9A00
"Computational Economics",0.11640040746219935,0.4661611729156645,#ffff0c
"Public Opinion Quarterly",0.3353971336469684,0.3055482916593475,#ffff0c
"IEEE Microwave and Guided Wave Letters",0.23378100760051826,0.6659380382733279,#fb01ff
"Arq-architectural Research Quarterly",0.31609284601869353,0.5566596875599166,#8B6508
"Journal of Applied School Psychology",0.4454661996096008,0.0997360991283128,#ffff0c
"Journal of Constructional Steel Research",0.3619163214740697,0.8077752602966374,#2dffff
"Clinical Research and Regulatory Affairs",0.6320425515188378,0.4881539268350434,#ffff0c
"Caryologia",0.733274984284472,0.8164890170923988,#8B0000
"Biochemistry (moscow) Supplement Series A: Membrane and Cell Biology",0.7167798866749449,0.5586841262551475,#8B0000
"Chemico-Biological Interactions",0.5930621322018551,0.5246706733576207,#8B6508
"Nutrition and Cancer",0.8048157846411355,0.4750959005424215,#8B6508
"Utilitas",0.08661566760980761,0.31749312283801284,#EE9A00
"Informes De La Construccion",0.3178249478348289,0.5716231527412919,#2dffff
"Microbes and Infection",0.7947919719317789,0.6776682061284728,#8B0000
"Communist and Post-communist Studies",0.18772438784926845,0.3244673728996799,#ffff0c
"Journal of Autonomic Pharmacology",0.6806142902578244,0.5224228431281255,#FF0000
"American Journal of Veterinary Research",0.8608617244296233,0.7870702728410507,#8B0000
"Neuroscience Research Communications",0.524045376682239,0.3738024089600006,#CDC673
"Russian Journal of Marine Biology",0.5458078947793873,0.953824351422241,#20c157
"Deafness & Education International",0.4745508315296398,0.039189755001031126,#ffff0c
"Journal of Water Resources Planning and Management",0.4849568338238725,0.830499650488198,#2dffff
"Geochemical Transactions",0.5176083563173843,0.8342989547716494,#20c157
"Tectonophysics",0.4021794040474426,0.8974940961379472,#FF6600
"Nondestructive Testing and Evaluation",0.33357249651540044,0.737619128598452,#2dffff
"Brookings Papers on Economic Activity",0.12154239914680992,0.4473422447516167,#ffff0c
"Soil Mechanics and Foundation Engineering",0.3936838823793889,0.8224209341980532,#2dffff
"Health Education",0.623692796488888,0.3459970481490801,#ffff0c
"Siam Journal on Applied Dynamical Systems",0.16896987042982045,0.8131003904297266,#663788
"Microwave Journal",0.0989527097616238,0.6201925010407628,#fb01ff
"Surface Science Reports",0.4596972165816534,0.6469987105918228,#663788
"Australasian Journal of Dermatology",0.9631111483747112,0.5308136750425139,#FF0000
"Ama-agricultural Mechanization in Asia Africa and Latin America",0.6526129662261947,0.7431986596219196,#2dffff
"Journal of Marine Systems",0.5054555687971305,0.9212048818491402,#FF6600
"Journal of Musculoskeletal Pain",0.5790624467138705,0.10712913187744708,#8B6508
"Experimental Animals",0.8703284871539917,0.7661283938331779,#8B0000
"Journal of School Health",0.5214113935758714,0.277061706992526,#8B6508
"Dermatology",0.9632422695678102,0.5303741857158589,#FF0000
"Journal of Optical and Fiber Communications Reports",0.3616619669204642,0.6401823305688863,#663788
"Letters in Mathematical Physics",0.11066941842392344,0.8071035464486652,#663788
"Food Science and Biotechnology",0.6594628677992883,0.6712625509486866,#0001fa
"Carbohydrate Polymers",0.6718774272682324,0.6515463781201701,#0001fa
"Australian Journal of Early Childhood",0.4213688084363652,0.08088401625317998,#ffff0c
"Revista Fitotecnia Mexicana",0.6706041972052018,0.7646012334466489,#20c157
"Current Gene Therapy",0.6709116164652112,0.567919933706588,#8B0000
"Mammalian Genome",0.7811898292749315,0.6074038377641457,#8B0000
"Cytotherapy",0.8053738511502074,0.5584268906147029,#8B0000
"Travail Humain",0.3620615281041848,0.3691009581020754,#fb01ff
"Metal Finishing",0.4105278370167215,0.7256592118788617,#2dffff
"Journal of Intellectual Disabilities",0.4757519516170092,0.08717300968377321,#ffff0c
"Scandinavian Journal of Educational Research",0.3941245712648929,0.08241919985697795,#ffff0c
"Behavioral Ecology and Sociobiology",0.6139393450698246,0.9068884935138132,#20c157
"Smart Materials and Structures",0.32602063627426336,0.7266780937245734,#2dffff
"European Journal of Social Work",0.3719285175716431,0.17689282778786788,#ffff0c
"Revista De Saude Publica",0.6393913165943896,0.3634526540025611,#20c157
"Crystallography Reviews",0.5298472042271829,0.6779212029224208,#0001fa
"Nukleonika",0.4733472610758107,0.5666872272430634,#663788
"Alcheringa",0.43183044917364816,0.9683184269808792,#FF6600
"Hamostaseologie",0.8376566516689111,0.36882377682237616,#FF0000
"Teacher Development",0.3642251953251441,0.04131335363014145,#ffff0c
"Eighteenth-Century Studies",0.1821978240278881,0.182517361867926,#EE9A00
"Nutrition Bulletin",0.6848038101467715,0.4454355265180268,#FF0000
"Chemometrics and Intelligent Laboratory Systems",0.6115716668426,0.6842199263020456,#0001fa
"Global Governance",0.2259225776107265,0.32268496897266125,#ffff0c
"Wear",0.3575787023402756,0.7200466669154647,#2dffff
"Emc - Dentisterie",0.5990048479843015,0.4268789533866573,#8B6508
"Romanticism",0.12896100715734102,0.20308163543220792,#EE9A00
"Journal of Integrative Plant Biology",0.6967216305460667,0.8154915387813321,#20c157
"Facies",0.4236763445300412,0.9594138209212288,#FF6600
"Journal of Intellectual & Developmental Disability",0.47590528703797497,0.08839441032741012,#ffff0c
"Child Development",0.4100966045379258,0.1228699134487311,#ffff0c
"International Journal of Sustainable Development and World Ecology",0.4068516769226169,0.533935699995281,#ffff0c
"Biochemical Systematics and Ecology",0.6223096681968442,0.6272573817073527,#0001fa
"Cancer Journal",0.8351037661684366,0.4751228805267011,#FF0000
"Journal of The Mechanical Behavior of Biomedical Materials",0.5189203275333096,0.5358209730401836,#8B6508
"Irish Medical Journal",0.6649743915094556,0.3348393262600016,#FF0000
"Journal of Membrane Science",0.5038373372496737,0.7714794866767204,#2dffff
